loading balance from table: slice_balance_1712624404
loaded 25513 balance records
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleHealth-fm (3 handlers)
[GIN-debug] POST   /order/create             --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleCreateOrder-fm (3 handlers)
[GIN-debug] POST   /order/cancel             --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleCancelOrder-fm (3 handlers)
[GIN-debug] GET    /order/:id                --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleGetOrder-fm (3 handlers)
[GIN-debug] GET    /balance/:user_id/:asset  --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleGetBalance-fm (3 handlers)
[GIN-debug] GET    /depth/:market            --> github.com/viabtc/go-project/services/matchengine/internal/server.(*Server).handleGetDepth-fm (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:7316
[GIN] 2026/04/02 - 10:18:24 | 200 | 274.333µs |       127.0.0.1 | GET      "/balance/11/SIPC"
[GIN] 2026/04/02 - 10:29:51 | 200 | 86.458µs |       127.0.0.1 | GET      "/balance/101028/SIPC"
[GIN] 2026/04/02 - 10:30:05 | 200 |     23µs |       127.0.0.1 | GET      "/balance/103028/SIPC"
[GIN] 2026/04/02 - 10:48:14 | 200 | 41.292µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/02 - 10:49:07 | 200 | 88.125µs |       127.0.0.1 | GET      "/balance/1/BTC"
[GIN] 2026/04/02 - 11:06:58 | 200 | 221.875µs |       127.0.0.1 | GET      "/balance/1/BTC"
[GIN] 2026/04/02 - 11:06:58 | 404 |    416ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:06:58 | 404 |    708ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:13 | 404 |      2µs |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:13 | 404 |    542ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:13 | 404 |    625ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:13 | 404 |    625ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:27 | 404 |    625ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:07:27 | 404 |    458ns |       127.0.0.1 | POST     "/"
[GIN] 2026/04/02 - 11:08:32 | 200 | 272.584µs |       127.0.0.1 | GET      "/depth/BTC_USDT"
[GIN] 2026/04/02 - 11:08:32 | 404 |  21.25µs |       127.0.0.1 | GET      "/order/1"
[GIN] 2026/04/02 - 11:08:32 | 200 |   50.5µs |       127.0.0.1 | GET      "/balance/1/BTC"
